id,x_gis,y_gis,x_nlogo,y_nlogo
54,163568.30887678088,5398368.614538083,-41.49919672550669,43.26060726560482
55,163637.803562444,5398365.825030472,-25.299042923830868,42.68653761351621
56,163638.6868053669,5398366.87887286,-25.09314701886231,42.90341421595437
57,163656.32712571207,5398383.1084559215,-20.980949086375134,46.243398328464934
58,163657.50830652914,5398383.808832293,-20.70559981726747,46.3875330203995
59,163672.63543111333,5397677.341064624,-17.179261903761315,-99.00074412175955
60,163672.84307987738,5397678.705093502,-17.13085616047107,-98.72003236434587
61,163584.47039440475,5398422.699144137,-37.73172776472315,54.391005641845
62,163583.41545266705,5398421.819378591,-37.977648992217624,54.20995336618847
63,163577.69103741544,5398417.045515895,-39.312087829026574,53.22751127260128
64,163576.6347949247,5398416.167283816,-39.55831227969618,53.04677457846495
65,163571.3903542364,5398411.806694984,-40.78086253578137,52.14938261439025
66,163570.33459476833,5398410.927895155,-41.02697438731909,51.968529079338765
67,163896.33194786325,5398423.559479175,34.96743020180858,54.56805919569467
68,163897.7028181236,5398423.4959510965,35.28699865294777,54.554985367953776
69,164105.69051419897,5398261.111206985,83.77175159666379,21.136846195937252
70,164106.4663486197,5398259.9695285065,83.95260912296888,20.901893272894668
71,164133.1530325777,5398222.181810047,90.17363711167556,13.125330016303522
72,164134.00466001814,5398221.101770691,90.37216301887207,12.903062181327101
73,163523.24467446818,5397896.173741785,-52.00427350151503,-53.965843209251936
74,163522.1270980842,5397895.367873361,-52.26479571458688,-54.13168774889563
75,163616.08512979018,5397906.205297065,-30.361904147906273,-51.90138874158517
76,163615.28908154852,5397907.33279573,-30.54747379003807,-51.669353968208895
77,163589.45750759236,5397943.919740771,-36.56916403924125,-44.139905140043865
78,163588.67458737965,5397945.057385432,-36.75167335976618,-43.905782360799805
79,163523.24467446818,5397896.173741785,-52.00427350151503,-53.965843209251936
80,163524.01990190384,5397895.031795587,-51.82355747166112,-54.200851227790906
81,163532.1613656807,5397883.039026576,-49.92567184059201,-56.668915737608934
82,163532.9558058509,5397881.910156625,-49.74047706172385,-56.90123271620449
83,163544.5400930571,5397865.449290961,-47.04002259341252,-60.2888138752065
84,163545.33531096918,5397864.3210895555,-46.85464651236691,-60.52099326982858
85,163518.31322102607,5398602.649175741,-53.153862185394054,91.42401162431275
86,163517.207580174,5398601.829087185,-53.41160206409115,91.2552406375494
87,163478.58329476177,5398574.564879934,-62.415446864413475,85.64437443644536
88,163477.47379328273,5398573.749344694,-62.67408670762246,85.47654050416946
89,163466.4606022144,5398565.65412555,-65.24141092027945,83.81057636768341
90,163465.314160272,5398564.891269362,-65.50866208652863,83.65358357623612
91,163461.09500275808,5398562.105189556,-66.49220492850213,83.08021935296006
92,163459.9480553673,5398561.343242914,-66.75957392162358,82.92341374256858
93,163427.17595391325,5398538.276654556,-74.3991952666794,78.17640093548519
94,163426.40305774842,5398539.420013904,-74.57936784568176,78.41169977466487
95,163531.1928861109,5398347.619857232,-50.1514375640397,38.939984842716
96,163530.47246562314,5398348.792593952,-50.319377350975174,39.181329429251036
97,163524.55824445953,5398358.4200527305,-51.698062520255704,41.162622432381056
98,163523.83595941088,5398359.591746291,-51.86643696162853,41.40375234080682
99,163522.654681167,5398361.5080199065,-52.14180894224227,41.798113884552436
100,163521.86405293999,5398362.640242352,-52.326115105448366,42.03112079336344
101,163519.99414533714,5398365.318050476,-52.76201592969008,42.58220313204893
102,163519.2044912885,5398366.451106618,-52.94609499870454,42.815381612346044
103,163503.7303677321,5398388.654521949,-56.553323079065024,47.38475681855053
104,163502.9406741321,5398389.787549048,-56.73741136802858,47.6179293218523
105,163487.43319427987,5398412.03714159,-60.35241525336914,52.1968076159892
106,163486.64324894827,5398413.169958241,-60.5365622243903,52.429936809888886
107,163471.19168057313,5398435.204736264,-64.13853238607715,56.96460712409254
108,163470.39639176326,5398436.3329889625,-64.32392499435572,57.19679707452724
109,163539.58637571678,5398129.2373848315,-48.194801293931334,-6.002265707631338
110,163539.56751310764,5398130.6196502885,-48.199198423960176,-5.71780093438025
111,163542.77011315338,5398144.922651285,-47.45262891564174,-2.774299803749443
112,163543.8876068588,5398145.72867379,-47.19212597606571,-2.6084235548853485
113,163653.9114927618,5398225.085378197,-21.544065890907333,13.72287287711211
114,163655.03485496104,5398225.884504769,-21.282194925827866,13.887329970322867
115,163653.28810361348,5398313.990310723,-21.689386356563745,32.01915695532281
116,163654.43695090746,5398314.748773696,-21.421574470236678,32.175245640409514
117,163661.78178076097,5398319.597787146,-19.709395011640765,33.173153462504104
118,163661.4779859208,5398320.945789627,-19.78021370933034,33.450567050454254
119,163666.5128591197,5398338.632506432,-18.606516477431683,37.090423534059454
120,163666.99020833182,5398339.927350921,-18.495239901685295,37.356897417202674
121,163684.7692556099,5398287.719712992,-14.350702839551701,26.61277167016216
122,163683.69225418672,5398286.8659628695,-14.601766478928639,26.437073265887804
123,163574.7188070112,5398090.64651921,-40.00495504935008,-13.944113478857489
124,163575.8486036919,5398091.438037106,-39.74158411936642,-13.78122222119292
125,163508.42805024356,5398616.722082499,-55.45822956981225,94.32016026923807
126,163509.2216208797,5398615.592326245,-55.27323749113528,94.08766089290793
127,163508.42805024356,5398616.722082499,-55.45822956981225,94.32016026923807
128,163507.6137193708,5398617.834089039,-55.648061141223444,94.54900682437378
129,163457.8110777797,5398559.923593215,-67.25773238164706,82.63125543976878
130,163456.6848314694,5398559.127784349,-67.52027567213628,82.46748111741212
131,163427.17595391325,5398538.276654556,-74.3991952666794,78.17640093548519
132,163426.08458131796,5398537.439773594,-74.6536090211967,78.00417413780332
133,163408.062397344,5398523.6200619545,-78.85482454486237,75.16013204866152
134,163407.01572221547,5398522.730536818,-79.0988187136391,74.97707128772035
