lanes_,maxspeed,oneway_,isRound_,isOpBus_,busBid_,type_,category_,id_,lat_,lon_,busRts_
0,50.0,,False,False,,path,cycleway,1424561627,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1424561627,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1424561628,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1424561628,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1424561628,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1424561628,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,1424561629,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,1424561629,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,1424561629,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,1424561629,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1424561630,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1424561630,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1424561631,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1424561631,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1425659336,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1425659336,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1425659336,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,1425659336,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1425659337,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1425659337,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318324,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318324,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318324,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318324,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318325,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318325,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318325,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318325,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318326,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318326,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318326,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318326,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318327,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318327,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318327,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318327,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318328,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318332,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318332,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318332,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,1429318332,0.0,0.0,[]
